FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
4 2.5 5 0.05 0.3 1.0881037513419434
5 2.5 5 0.05 0.3 0.3943010466770109
6 2.5 5 0.05 0.3 0.24264350278145883
7 2.5 5 0.05 0.3 0.2949486997537665
8 2.5 5 0.05 0.3 0.014581781532121155
9 2.5 5 0.05 0.3 0.06437609041194034
10 2.5 5 0.05 0.3 0.1076709071203063
11 2.5 5 0.05 0.3 0.04197011173024705
12 2.5 5 0.05 0.3 0.09307515269762782
13 2.5 5 0.05 0.3 0.11308983806928813
1 2.5 5 0.07 0.3 0.6247113760006772
2 2.5 5 0.07 0.3 0.30045226929262375
3 2.5 5 0.07 0.3 0.7083901082603771
4 2.5 5 0.07 0.3 1.001112169002656
5 2.5 5 0.07 0.3 0.3646597114046208
6 2.5 5 0.07 0.3 0.20549508132536654
7 2.5 5 0.07 0.3 0.26359406224270227
8 2.5 5 0.07 0.3 0.012320521723828182
9 2.5 5 0.07 0.3 0.05452019025016192
10 2.5 5 0.07 0.3 0.09794910904578599
11 2.5 5 0.07 0.3 0.037232365528882205
12 2.5 5 0.07 0.3 0.07994914962197726
13 2.5 5 0.07 0.3 0.09577592313300837
1 2.5 5 0.09 0.3 0.4938522604870974
2 2.5 5 0.09 0.3 0.27447388864447325
3 2.5 5 0.09 0.3 0.6272046987655039
4 2.5 5 0.09 0.3 0.9342516763351534
5 2.5 5 0.09 0.3 0.3413713880419
6 2.5 5 0.09 0.3 0.18194421276856004
7 2.5 5 0.09 0.3 0.23918631645027977
8 2.5 5 0.09 0.3 0.010778552099277057
9 2.5 5 0.09 0.3 0.04827187605211717
10 2.5 5 0.09 0.3 0.09098736919036883
11 2.5 5 0.09 0.3 0.03351095974970474
12 2.5 5 0.09 0.3 0.07221857342760787
13 2.5 5 0.09 0.3 0.08479947463572819
1 2.5 10 0.03 0.3 0.8714343534158476
2 2.5 10 0.03 0.3 0.40161484911601947
3 2.5 10 0.03 0.3 1.0657471422140385
4 2.5 10 0.03 0.3 1.2523526559105058
5 2.5 10 0.03 0.3 0.4470433785958712
6 2.5 10 0.03 0.3 0.30983543224272486
7 2.5 10 0.03 0.3 0.3448446012919653
8 2.5 10 0.03 0.3 0.01847189166379647
9 2.5 10 0.03 0.3 0.08220316171970615
10 2.5 10 0.03 0.3 0.12553734971196617
11 2.5 10 0.03 0.3 0.05369318434100676
12 2.5 10 0.03 0.3 0.12043765477425054
13 2.5 10 0.03 0.3 0.1453791505911298
1 2.5 10 0.05 0.3 0.7246485887834742
2 2.5 10 0.05 0.3 0.34121002545200424
3 2.5 10 0.05 0.3 0.8594068864300825
4 2.5 10 0.05 0.3 1.1212860838114629
5 2.5 10 0.05 0.3 0.4059037095810524
6 2.5 10 0.05 0.3 0.24984791756163283
7 2.5 10 0.05 0.3 0.303527137919415
8 2.5 10 0.05 0.3 0.015069485995790556
9 2.5 10 0.05 0.3 0.06628773418193512
10 2.5 10 0.05 0.3 0.11124616836629438
